tournament,team_country,team_country_code,team_finish,team_pool,team_color_hex,team_color2_hex,player_name,player_role,position,position_group,bats,throws,height,weight,born_year,birthplace,mlb_affiliation,domestic_league,ba,hr,rbi,ops,era,ip,k,saves,k9,key_stat_note,br_id,notes
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Maikel Garcia,MVP,3B,Hitter,R,R,6-1,180,2000,"Caracas, Venezuela",Kansas City Royals,MLB,.385,1,7,1.231,,,,,,Tournament MVP. .385/.500/.731. The pulse of the championship run.,garciama03,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Salvador Perez,Captain,C,Hitter,R,R,6-3,255,1990,"Valencia, Venezuela",Kansas City Royals,MLB,.302,2,8,.987,,,,,,4th WBC. Captain. Veteran leader. Hit .302 with key clutch RBI.,perezsa02,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Ronald Acuna Jr,Star,OF,Hitter,R,R,6-0,205,1997,"La Guaira, Venezuela",Atlanta Braves,MLB,.350,2,6,1.122,,,,,,Returned strong from 2024 ACL. .350 BA.,acunaro01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Ezequiel Tovar,Star,SS,Hitter,R,R,6-0,162,2001,"Maracay, Venezuela",Colorado Rockies,MLB,.471,1,5,1.298,,,,,,Tournament-best .471 BA.,tovarez01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Eugenio Suarez,Star,3B,Hitter,R,R,6-1,213,1991,"Ciudad Bolivar, Venezuela",Arizona Diamondbacks,MLB,.275,2,9,.998,,,,,,9th-inning RBI in the Final. The walk-off moment.,suareeu01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Wilyer Abreu,Star,OF,Hitter,L,L,5-10,215,1999,"Maracaibo, Venezuela",Boston Red Sox,MLB,.300,2,5,1.045,,,,,,Final HR. Tournament breakout.,abreuwi01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Luis Arraez,Star,2B,Hitter,L,R,5-10,175,1997,"San Felipe, Venezuela",San Diego Padres,MLB,.412,0,4,.987,,,,,,Tournament leadoff anchor. .412 BA.,arraelu01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Anthony Santander,Star,OF,Hitter,S,R,6-2,230,1994,"Margarita, Venezuela",Toronto Blue Jays,MLB,.290,3,8,1.012,,,,,,Power. 3 HR.,santaan02,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Andres Gimenez,,2B,Hitter,L,R,5-11,161,1998,"Caracas, Venezuela",Toronto Blue Jays,MLB,.245,1,3,.745,,,,,,Defensive anchor. Gold Glove caliber.,gimenan01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Jose Altuve,,2B/OF,Hitter,R,R,5-6,166,1990,"Maracay, Venezuela",Houston Astros,MLB,.280,2,5,.945,,,,,,Veteran. 4th WBC.,altuvjo01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Miguel Cabrera,,DH,Hitter,R,R,6-4,267,1983,"Maracay, Venezuela",Detroit Tigers (retired),MLB,.250,1,3,.789,,,,,,Final WBC. Triple Crown winner. Living legend.,cabremi01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Gleyber Torres,,2B,Hitter,R,R,6-1,205,1996,"Caracas, Venezuela",Detroit Tigers,MLB,.267,1,4,.834,,,,,,Versatile infielder.,torregl01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Willson Contreras,,C,Hitter,R,R,6-1,212,1992,"Puerto Cabello, Venezuela",St. Louis Cardinals,MLB,.288,1,4,.876,,,,,,Backup catcher behind Salvy.,contrwi01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Daniel Palencia,Closer,CL,Pitcher,R,R,6-0,180,2000,"Caracas, Venezuela",Chicago Cubs,MLB,,,,,0.00,4.0,7,3,15.75,Tournament saves leader. 0.00 ERA. The closer.,palenda01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Pablo Lopez,Ace,SP,Pitcher,R,R,6-3,225,1996,"Cabimas, Venezuela",Minnesota Twins,MLB,,,,,1.50,12.0,14,0,10.5,Tournament rotation ace. Multiple wins.,lopezpa02,
