Order (chronological),Display Title,Year (Almanac),Year (Wikipedia),Year Mismatch?,Type (auto),Director,Genre (source),Summary,Tags (manual),Controlled Tags,WBN Notes (factual),War-adjacent? (manual),International focus? (manual),Pre-FNL era? (auto),Pre-Moneyball era? (auto),Tags (auto),Baseball level,Setting (state/country),Release Decade,Almanac Details,Almanac Link,Wikipedia Link,Sources,Last verified,Needs research?,Simmons Top21?,Simmons Top21 Rank,Simmons Honorable Mention?,Simmons Not Mentioned?,Simmons Notes,Stream (Library),Stream (FAST),
1,The Ball Game,1898,1898,,Doc Short,William Heise,Documentary,Short film depicting an 1898 baseball game between Reading and Newark. [ 1 ],,,,,,Yes,Yes,war-adjacent,,,1890s,,,https://en.wikipedia.org/wiki/The_Ball_Game,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
2,Baseball and Bloomers,1911,1911,,Short,,Short,An all-girl baseball team uses two Harvard boys in disguise. [ 2 ],,,,,,Yes,Yes,,,,1910s,,,https://en.wikipedia.org/wiki/Baseball_and_Bloomers,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
3,Little Sunset,1915,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
4,Right Off the Bat,1915,1915,,,,Drama,A bio-pic of sorts starring professional baseball player Mike Donlin . [ 3 ],,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
5,Spit Ball Sadie,1915,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
6,Beatrice Fairfax (Episode 10: Play Ball),1916,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
7,Casey at the Bat,1916,1916,,,Lloyd Ingraham,Drama,A lost five-reeler based on Ernest Thayer 's poem and starring DeWolf Hopper . [ 4 ],,,,,,Yes,Yes,,,,1910s,Amazon,,https://en.wikipedia.org/wiki/Casey_at_the_Bat_(1916_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
8,Somewhere in Georgia,1916,1917,Yes,,George Ridgwell,Drama,Ty Cobb as a ball-playing bank clerk in a story by Grantland Rice . [ 5 ],,,,,,Yes,Yes,,,,1910s,Amazon,,https://en.wikipedia.org/wiki/Somewhere_in_Georgia,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
9,Baseball Madness,1917,1917,,,Billy Mason,Comedy,A silent film starring Gloria Swanson . [ 6 ],,,,,,Yes,Yes,,,,1910s,,,https://en.wikipedia.org/wiki/Baseball_Madness,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
10,One Touch Of Nature,1917,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
11,The Pinch Hitter,1917,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
12,Baseball: An Analysis of Motion,1919,,,,,,,,,,,,Yes,Yes,,,,1910s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
13,The Busher,1919,1919,,,Jerome Storm,Comedy,Small-town ballplayer gets a big head after joining the St. Paul Pink Sox. [ 7 ] [ 8 ],,,,,,Yes,Yes,,,,1910s,Amazon,,https://en.wikipedia.org/wiki/The_Busher,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
14,Headin' Home,1920,1920,,,Lawrence C. Windom,Biographical,"A silent film about young Babe Ruth , who stars as himself. [ 9 ]",,,,,,Yes,Yes,biopic/true story,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Headin%27_Home,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
15,As The World Rolls On,1921,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
16,Trifling With Honor,1923,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
17,Hit And Run,1924,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
18,Life's Greatest Game,1924,1924,,,Emory Johnson,Drama,Chicago Cubs pitcher Jack Donovan refuses to throw a game. [ 10 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Life%27s_Greatest_Game,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
19,The Battling Orioles,1924,1924,,,"Fred Guiol , Ted Wilde",Comedy,A barber enlists the help of his father and his old professional baseball teammates to solve a problem. [ 11 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/The_Battling_Orioles,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
20,Play Ball,1925,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
21,The Pinch Hitter,1925,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
22,Out Of The West,1926,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
23,The New Klondike,1926,1926,,,Lewis Milestone,Comedy,A pitcher and his manager clash over a Florida land purchase. [ 12 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/The_New_Klondike,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
24,Babe Comes Home,1927,1927,,,Ted Wilde,Comedy,Babe Ruth stars as a baseball player who falls for the laundry woman who cleans his uniform. [ 9 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Babe_Comes_Home,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
25,Casey at the Bat,1927,1927,,,Monte Brice,Comedy,Wallace Beery in slugger's fable based on Ernest Thayer poem. [ 13 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Casey_at_the_Bat_(1927_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
26,Catch-As-Catch-Can,1927,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
27,College,1927,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
28,"Slide, Kelly, Slide",1927,1927,,,Edward Sedgwick,Comedy,A cocky newcomer thinks he's the New York Yankees' new star. [ 14 ] [ 15 ],,,,,,Yes,Yes,,,,1920s,Amazon,,"https://en.wikipedia.org/wiki/Slide,_Kelly,_Slide",https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
29,The Bush Leaguer,1927,1927,,,Howard Bretherton,Comedy,An eccentric inventor is also the local team's star pitcher. [ 16 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/The_Bush_Leaguer,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
30,Speedy,1928,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
31,The Cameraman,1928,,,,,,,,,,,,Yes,Yes,,,,1920s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
32,Warming Up,1928,1928,,,Fred C. Newmeyer,Romance,New player competes with team's star for owner's daughter. [ 17 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Warming_Up_(1928_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
33,Fast Company,1929,1929,,,A. Edward Sutherland,Comedy,Elmer Kane ( Jack Oakie ) hopes the Yankees and an actress are interested in him. [ 18 ] [ 19 ],,,,,,Yes,Yes,,,,1920s,Amazon,,https://en.wikipedia.org/wiki/Fast_Company_(1929_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
34,Hot Curves,1930,1930,,,Norman Taurog,Comedy,Pittsburgh pitcher finds romance with manager's daughter. [ 20 ],,,,,,Yes,Yes,,,,1930s,Amazon,,https://en.wikipedia.org/wiki/Hot_Curves,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
35,They Learned About Women,1930,1930,,,"Jack Conway , Sam Wood",Musical,"Two pals play ball by day, perform in vaudeville by night. [ 21 ]",,,,,,Yes,Yes,,,,1930s,Amazon,,https://en.wikipedia.org/wiki/They_Learned_About_Women,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
36,Up the River,1930,1930,,,John Ford,Comedy,A prison baseball game prompts Spencer Tracy and Humphrey Bogart to break into the pen. [ 22 ],,,,,,Yes,Yes,,,,1930s,,,https://en.wikipedia.org/wiki/Up_the_River,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
37,Fancy Curves,1932,1932,,Short,Lou Breslaw,Short,"Babe Ruth coaches a women's baseball team, and ends up in drag as one of the players. [ 9 ]",,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
38,"Fireman, Save My Child",1932,1932,,,Lloyd Bacon,Comedy,Joe E. Brown as a small-town fireman who is also the town's star ballplayer. [ 23 ],,,,,,Yes,Yes,,,,1930s,Amazon,,"https://en.wikipedia.org/wiki/Fireman,_Save_My_Child_(1932_film)",https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
39,Just Pals,1932,1932,,Short,Benjamin Stoloff,Short,Babe Ruth umpires a baseball game at an orphanage. [ 9 ],,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
40,Over the Fence,1932,1932,,Short,Lou Breslaw,Short,Babe Ruth convinces a schoolteacher to allow the class to play baseball instead of having their math lesson. [ 9 ],,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
41,Perfect Control,1932,1932,,Short,Benjamin Stoloff,Short,A schoolboy dreams that his classmates play a sandlot game with Babe Ruth. [ 9 ],,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
42,"Slide, Babe, Slide",1932,1932,,Short,Benjamin Stoloff,Short,Babe Ruth plays baseball with a group of kids who refuse to believe he is who he says he is. [ 9 ],,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
43,"Elmer, the Great",1933,1933,,,Mervyn LeRoy,Drama,Joe E. Brown as an egotistical Chicago Cubs baseball star. Remake of 1929 film . [ 24 ],,,,,,Yes,Yes,,,,1930s,Amazon,,"https://en.wikipedia.org/wiki/Elmer,_the_Great",https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
44,Death on the Diamond,1934,1934,,,Edward Sedgwick,Mystery,Ballplayer ( Robert Young ) tries to find who's killing his fellow St. Louis Cardinals . [ 25 ],,,,,,Yes,Yes,,,,1930s,Amazon,,https://en.wikipedia.org/wiki/Death_on_the_Diamond,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
45,Alibi Ike,1935,1935,,,Ray Enright,Comedy,Joe E. Brown as a pitcher with a million excuses. [ 26 ],,,,,,Yes,Yes,,,,1930s,Amazon,,https://en.wikipedia.org/wiki/Alibi_Ike,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
46,Swell-Head,1935,,,,,,,,,,,,Yes,Yes,,,,1930s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
47,The Adventures Of Frank Merriwell,1936,,,,,,,,,,,,Yes,Yes,,,,1930s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
